The sun is shining.	El sol esta brillando.
The coffee is hot.	El cafe esta caliente.
I am writing a letter.	Estoy escribiendo una carta.
She is cooking dinner.	Ella esta cocinando la cena.
We are traveling to Spain.	Estamos viajando a Espana.
He is playing soccer.	El esta jugando al futbol.
The bird is singing.	El pajaro esta cantando.
I am fixing my bike.	Estoy arreglando mi bicicleta.
She is teaching math.	Ella esta ensenando matematicas.
We are visiting the museum.	Estamos visitando el museo.
He is running a marathon.	El esta corriendo un maraton.
The cake is sweet.	El pastel es dulce.
I am reading a magazine.	Estoy leyendo una revista.
She is gardening.	Ella esta jardineando.
We are buying tickets.	Estamos comprando boletos.
He is brushing his teeth.	El se esta cepillando los dientes.
The sky is clear.	El cielo esta despejado.
I am feeling happy.	Me siento feliz.
She is sewing a button.	Ella esta cosiendo un boton.
We are enjoying the weather.	Estamos disfrutando del clima.
He is painting a mural.	El esta pintando un mural.
The soup is cold.	La sopa esta fria.
I am going to bed.	Me voy a la cama.
She is taking a nap.	Ella esta tomando una siesta.
We are organizing a party.	Estamos organizando una fiesta.
He is reading a map.	El esta leyendo un mapa.
The flowers are beautiful.	Las flores son hermosas.
I am drinking tea.	Estoy bebiendo te.
She is folding clothes.	Ella esta doblando ropa.
We are baking bread.	Estamos horneando pan.
He is checking his email.	El esta revisando su correo electronico.
The dog is playful.	El perro es jugueton.
I am learning to swim.	Estoy aprendiendo a nadar.
She is fixing her hair.	Ella se esta arreglando el cabello.
We are washing the car.	Estamos lavando el coche.
He is playing chess.	El esta jugando ajedrez.
The cat is purring.	El gato esta ronroneando.
I am sending a message.	Estoy enviando un mensaje.
She is setting the table.	Ella esta poniendo la mesa.
We are building a sandcastle.	Estamos construyendo un castillo de arena.
He is eating breakfast.	El esta desayunando.
The road is bumpy.	El camino esta lleno de baches.
I am studying history.	Estoy estudiando historia.
She is lighting a candle.	Ella esta encendiendo una vela.
We are singing a song.	Estamos cantando una cancion.
He is watering the plants.	El esta regando las plantas.
The sun is shining brightly.	El sol esta brillando intensamente.
I love eating ice cream.	Me encanta comer helado.
She is my younger sister.	Ella es mi hermana menor.
We are walking to the store.	Estamos caminando a la tienda.
He works in a bank.	El trabaja en un banco.
They have a beautiful garden.	Tienen un hermoso jardin.
The cat is on the roof.	El gato esta en el techo.
It is snowing heavily.	Esta nevando mucho.
I have a pet dog.	Tengo un perro.
You are very helpful.	Eres muy servicial.
The concert was amazing.	El concierto fue increible.
We will visit the zoo.	Visitaremos el zoologico.
She enjoys hiking.	Ella disfruta hacer senderismo.
He can speak German.	El puede hablar aleman.
They are playing cards.	Estan jugando a las cartas.
The soup tastes spicy.	La sopa sabe picante.
My favorite color is blue.	Mi color favorito es el azul.
We need to fix the door.	Necesitamos arreglar la puerta.
He is a skilled mechanic.	El es un mecanico habil.
The children are laughing.	Los ninos estan riendo.
It is a chilly evening.	Es una noche fria.
I lost my notebook.	Perdi mi cuaderno.
She enjoys gardening.	A ella le gusta la jardineria.
We had a nice vacation.	Tuvimos unas buenas vacaciones.
The dog is very loyal.	El perro es muy leal.
I need a new laptop.	Necesito una computadora nueva.
She speaks Italian fluently.	Ella habla italiano con fluidez.
We are very excited.	Estamos muy emocionados.
He jogs every evening.	El trota todas las noches.
The food is delicious.	La comida esta deliciosa.
I bought a new book.	Compre un libro nuevo.
They are practicing yoga.	Estan practicando yoga.
The cake is too sweet.	El pastel esta demasiado dulce.
I have a new job.	Tengo un trabajo nuevo.
We need more time.	Necesitamos mas tiempo.
He likes to read novels.	A el le gusta leer novelas.
They are very intelligent.	Son muy inteligentes.
The weather is perfect.	El clima es perfecto.
I forgot my password.	Olvide mi contrasena.
She is very friendly.	Ella es muy amigable.
We are eating dinner.	Estamos cenando.
He is washing the dishes.	El esta lavando los platos.
The baby is adorable.	El bebe es adorable.
I am feeling sleepy.	Me siento con sueno.
She is baking a cake.	Ella esta horneando un pastel.
We are having fun.	Nos estamos divirtiendo.
He is reading a novel.	El esta leyendo una novela.
The sun is setting.	El sol se esta poniendo.
I enjoy painting.	Disfruto pintar.
She is a good dancer.	Ella es una buena bailarina.
We are playing basketball.	Estamos jugando baloncesto.
He is fixing the bike.	El esta arreglando la bicicleta.
The cat is very cute.	El gato es muy lindo.
I need more coffee.	Necesito mas cafe.
She likes to jog.	A ella le gusta trotar.
We went to the mountains.	Fuimos a las montanas.
He is a good driver.	El es un buen conductor.
The book is new.	El libro es nuevo.
I am feeling cold.	Tengo frio.
She is very patient.	Ella es muy paciente.
We are having breakfast.	Estamos desayunando.
He is building a model.	El esta construyendo un modelo.
The dog is outside.	El perro esta afuera.
I am learning math.	Estoy aprendiendo matematicas.
She is taking a break.	Ella esta tomando un descanso.
We are going fishing.	Vamos a pescar.
He is watching a movie.	El esta viendo una pelicula.
The water is warm.	El agua esta tibia.
I am eating an apple.	Estoy comiendo una manzana.
She is making lunch.	Ella esta haciendo el almuerzo.
We are planting flowers.	Estamos plantando flores.
He is writing a poem.	El esta escribiendo un poema.
The sky is gray.	El cielo esta gris.
I enjoy playing the guitar.	Disfruto tocar la guitarra.
She is a great artist.	Ella es una gran artista.
We are having a picnic.	Estamos haciendo un picnic.
He is studying for exams.	El esta estudiando para los examenes.
The coffee is ready.	El cafe esta listo.
I am making dinner.	Estoy haciendo la cena.
She is feeding the cat.	Ella esta alimentando al gato.
We are learning Spanish.	Estamos aprendiendo espanol.
He is fixing the sink.	El esta arreglando el fregadero.
The road is busy.	La carretera esta ocupada.
I am reading the news.	Estoy leyendo las noticias.
She is very athletic.	Ella es muy atletica.
We are going to a party.	Vamos a una fiesta.
He is cleaning the windows.	El esta limpiando las ventanas.
The milk is in the fridge.	La leche esta en el refrigerador.
I need a vacation.	Necesito unas vacaciones.
She is walking to school.	Ella esta caminando a la escuela.
We are playing volleyball.	Estamos jugando voleibol.
He is a talented musician.	El es un musico talentoso.
The cat is very playful.	El gato es muy jugueton.
I am fixing my computer.	Estoy arreglando mi computadora.
She is organizing her desk.	Ella esta organizando su escritorio.
We are going hiking.	Vamos a hacer senderismo.
He is learning to cook.	El esta aprendiendo a cocinar.
The dog is very happy.	El perro esta muy feliz.
I am writing an email.	Estoy escribiendo un correo electronico.
She is baking bread.	Ella esta horneando pan.
We are cleaning the garage.	Estamos limpiando el garaje.
He is preparing lunch.	El esta preparando el almuerzo.
The sun is rising.	El sol esta saliendo.
The water is cold.	El agua esta fria.
I am brushing my hair.	Me estoy cepillando el cabello.
She is painting the fence.	Ella esta pintando la cerca.
We are making decorations.	Estamos haciendo decoraciones.
He is taking out the trash.	El esta sacando la basura.
The sky is clear and blue.	El cielo esta despejado y azul.
I am learning to sew.	Estoy aprendiendo a coser.
She is reading to the children.	Ella esta leyendo a los ninos.
We are watching the sunset.	Estamos viendo la puesta del sol.
He is organizing the files.	El esta organizando los archivos.
The car is in the garage.	El coche esta en el garaje.
I am drinking a smoothie.	Estoy bebiendo un batido.
She is studying for a test.	Ella esta estudiando para un examen.
We are playing a board game.	Estamos jugando un juego de mesa.
He is fixing the computer.	El esta arreglando la computadora.
The flowers are blooming.	Las flores estan floreciendo.
I am going to the gym.	Voy al gimnasio.
She is brushing her teeth.	Ella se esta cepillando los dientes.
We are making a puzzle.	Estamos haciendo un rompecabezas.
He is teaching a class.	El esta dando una clase.
The cat is chasing a mouse.	El gato esta persiguiendo un raton.
I am writing a story.	Estoy escribiendo una historia.
She is taking a selfie.	Ella esta tomando una selfie.
We are planning a trip.	Estamos planeando un viaje.
He is mowing the lawn.	El esta cortando el cesped.
The baby is crawling.	El bebe esta gateando.
I am learning to paint.	Estoy aprendiendo a pintar.
She is washing the car.	Ella esta lavando el coche.
We are going for a drive.	Vamos a dar una vuelta.
He is ironing his clothes.	El esta planchando su ropa.
The coffee is brewing.	El cafe esta colandose.
I am feeding the birds.	Estoy alimentando a los pajaros.
She is writing in her diary.	Ella esta escribiendo en su diario.
We are making crafts.	Estamos haciendo manualidades.
He is cleaning the garage.	El esta limpiando el garaje.
The children are drawing.	Los ninos estan dibujando.
I am practicing yoga.	Estoy practicando yoga.
She is walking the dog.	Ella esta paseando al perro.
We are cooking together.	Estamos cocinando juntos.
He is reading a textbook.	El esta leyendo un libro de texto.
The dog is digging a hole.	El perro esta cavando un hoyo.
I am folding the laundry.	Estoy doblando la ropa.
She is playing the violin.	Ella esta tocando el violin.
We are decorating the tree.	Estamos decorando el arbol.
He is fixing the roof.	El esta arreglando el techo.
The sky is full of stars.	El cielo esta lleno de estrellas.
I am wrapping a gift.	Estoy envolviendo un regalo.
She is wearing a coat.	Ella esta usando un abrigo.
We are visiting friends.	Estamos visitando amigos.
He is fixing the leak.	El esta arreglando la fuga.
The cake is cooling.	El pastel se esta enfriando.
I am sweeping the floor.	Estoy barriendo el piso.
She is making a scrapbook.	Ella esta haciendo un album de recortes.
We are going to the mall.	Vamos al centro comercial.
He is walking to work.	El esta caminando al trabajo.
The water is boiling.	El agua esta hirviendo.
I am buying a gift.	Estoy comprando un regalo.
She is cleaning her room.	Ella esta limpiando su habitacion.
We are fixing the fence.	Estamos arreglando la cerca.
He is washing his car.	El esta lavando su coche.
The sun is shining brightly.	El sol esta brillando intensamente.
I am calling my family.	Estoy llamando a mi familia.
She is organizing a party.	Ella esta organizando una fiesta.
We are watching TV.	Estamos viendo television.
He is baking a pie.	El esta horneando un pastel.
The dog is wagging its tail.	El perro esta moviendo la cola.
I am sending a postcard.	Estoy enviando una postal.
She is decorating the cake.	Ella esta decorando el pastel.
We are playing video games.	Estamos jugando videojuegos.
He is cleaning the pool.	El esta limpiando la piscina.
The baby is drinking milk.	El bebe esta bebiendo leche.
I am writing a blog.	Estoy escribiendo un blog.
She is feeding the fish.	Ella esta alimentando a los peces.
We are having a barbecue.	Estamos haciendo una barbacoa.
He is taking a photo.	El esta tomando una foto.
The cat is purring loudly.	El gato esta ronroneando fuerte.
I am learning to knit.	Estoy aprendiendo a tejer.
She is walking in the park.	Ella esta caminando en el parque.
We are painting the house.	Estamos pintando la casa.
He is studying geography.	El esta estudiando geografia.
The coffee is too strong.	El cafe esta demasiado fuerte.
I am learning to dance.	Estoy aprendiendo a bailar.
She is cooking pasta.	Ella esta cocinando pasta.
We are fixing the car.	Estamos arreglando el coche.
He is practicing piano.	El esta practicando piano.
The sky is turning red.	El cielo se esta poniendo rojo.
I am reading a comic book.	Estoy leyendo un comic.
She is washing her hair.	Ella esta lavandose el cabello.
We are planning a surprise.	Estamos planeando una sorpresa.
He is driving a truck.	El esta conduciendo un camion.
The dog is chasing its tail.	El perro esta persiguiendo su cola.
I am practicing singing.	Estoy practicando cantar.
She is making jewelry.	Ella esta haciendo joyas.
We are visiting the library.	Estamos visitando la biblioteca.
He is planting a garden.	El esta plantando un jardin.
The sun is setting in the west.	El sol se esta poniendo en el oeste.
I enjoy reading mystery novels.	Disfruto leer novelas de misterio.
She is knitting a sweater.	Ella esta tejiendo un sueter.
We are building a birdhouse.	Estamos construyendo una casita para pajaros.
He works at a bookstore.	El trabaja en una libreria.
They have a big family.	Tienen una familia grande.
The cat is under the table.	El gato esta debajo de la mesa.
It is very windy today.	Hoy hace mucho viento.
I have three pets.	Tengo tres mascotas.
You are very talented.	Eres muy talentoso.
The play was fantastic.	La obra fue fantastica.
We will visit our cousins.	Visitaremos a nuestros primos.
She enjoys rock climbing.	A ella le gusta escalar rocas.
He can speak Japanese.	El puede hablar japones.
They are playing chess.	Estan jugando ajedrez.
The cake tastes amazing.	El pastel sabe increible.
My favorite sport is soccer.	Mi deporte favorito es el futbol.
We need to finish the project.	Necesitamos terminar el proyecto.
He is a talented artist.	El es un artista talentoso.
The children are singing.	Los ninos estan cantando.
It is a warm evening.	Es una noche calida.
I lost my wallet yesterday.	Perdi mi cartera ayer.
She enjoys making jewelry.	Ella disfruta hacer joyas.
We had a wonderful time.	Tuvimos un tiempo maravilloso.
The dog is very playful.	El perro es muy jugueton.
I need a new suitcase.	Necesito una maleta nueva.
She speaks French fluently.	Ella habla frances con fluidez.
We are very proud.	Estamos muy orgullosos.
He swims every morning.	El nada todas las mananas.
The food is very tasty.	La comida esta muy sabrosa.
I bought a new bicycle.	Compre una bicicleta nueva.
They are learning to dance.	Estan aprendiendo a bailar.
The sky is pink at sunset.	El cielo esta rosado al atardecer.
I forgot my phone at home.	Olvide mi telefono en casa.
She is very generous.	Ella es muy generosa.
We are eating dessert.	Estamos comiendo postre.
He is fixing his watch.	El esta arreglando su reloj.
The baby is giggling.	El bebe esta riendo.
I am feeling thirsty.	Tengo sed.
She is baking cookies.	Ella esta horneando galletas.
We are having a party.	Estamos teniendo una fiesta.
He is reading a biography.	El esta leyendo una biografia.
The sun is rising in the east.	El sol esta saliendo en el este.
I enjoy playing basketball.	Disfruto jugar baloncesto.
She is a good singer.	Ella es una buena cantante.
We are playing soccer.	Estamos jugando futbol.
He is cleaning the kitchen.	El esta limpiando la cocina.
The cat is on the couch.	El gato esta en el sofa.
I need to charge my phone.	Necesito cargar mi telefono.
She is studying biology.	Ella esta estudiando biologia.
We are going on vacation.	Nos vamos de vacaciones.
He is writing a letter.	El esta escribiendo una carta.
The sky is overcast.	El cielo esta nublado.
I am taking a nap.	Estoy tomando una siesta.
She is planting vegetables.	Ella esta plantando vegetales.
We are organizing the garage.	Estamos organizando el garaje.
He is drawing a picture.	El esta dibujando un cuadro.
The water is very deep.	El agua es muy profunda.
I am learning to code.	Estoy aprendiendo a programar.
She is very creative.	Ella es muy creativa.
We are cleaning the attic.	Estamos limpiando el atico.
He is painting the house.	El esta pintando la casa.
The cake is baking.	El pastel esta horneandose.
I am calling my sister.	Estoy llamando a mi hermana.
She is reading a magazine.	Ella esta leyendo una revista.
We are planning a wedding.	Estamos planeando una boda.
He is mowing the lawn.	El esta cortando el cesped.
The cat is chasing a butterfly.	El gato esta persiguiendo una mariposa.
I am washing the dishes.	Estoy lavando los platos.
She is organizing her closet.	Ella esta organizando su armario.
We are going to the theater.	Vamos al teatro.
He is practicing the guitar.	El esta practicando la guitarra.
The dog is chewing a bone.	El perro esta masticando un hueso.
I am folding the clothes.	Estoy doblando la ropa.
She is cleaning the windows.	Ella esta limpiando las ventanas.
We are decorating the house.	Estamos decorando la casa.
He is fixing the car.	El esta arreglando el coche.
The sky is full of clouds.	El cielo esta lleno de nubes.
I am learning to play the piano.	Estoy aprendiendo a tocar el piano.
She is writing a novel.	Ella esta escribiendo una novela.
We are having a family reunion.	Estamos teniendo una reunion familiar.
He is studying chemistry.	El esta estudiando quimica.
The cat is sleeping on the bed.	El gato esta durmiendo en la cama.
I am feeding the dog.	Estoy alimentando al perro.
She is painting her nails.	Ella esta pintandose las unas.
We are fixing the roof.	Estamos arreglando el techo.
He is walking in the park.	El esta caminando en el parque.
The coffee is on the table.	El cafe esta en la mesa.
I am learning to draw.	Estoy aprendiendo a dibujar.
She is baking a pie.	Ella esta horneando un pastel.
We are going to the fair.	Vamos a la feria.
He is brushing his hair.	El se esta cepillando el cabello.
The dog is running fast.	El perro esta corriendo rapido.
I am cleaning my room.	Estoy limpiando mi habitacion.
She is organizing the books.	Ella esta organizando los libros.
We are going to the market.	Vamos al mercado.
He is learning to drive.	El esta aprendiendo a conducir.
The water is very clear.	El agua esta muy clara.
I am fixing the bicycle.	Estoy arreglando la bicicleta.
She is sewing a dress.	Ella esta cosiendo un vestido.
We are watching a movie.	Estamos viendo una pelicula.
He is planting flowers.	El esta plantando flores.
The sun is shining brightly.	El sol esta brillando intensamente.
I am drinking water.	Estoy bebiendo agua.
She is knitting a scarf.	Ella esta tejiendo una bufanda.
We are baking a cake.	Estamos horneando un pastel.
He is learning Spanish.	El esta aprendiendo espanol.
The cat is playing with a ball.	El gato esta jugando con una pelota.
I am reading a book.	Estoy leyendo un libro.
She is studying history.	Ella esta estudiando historia.
We are cooking dinner.	Estamos cocinando la cena.
He is fixing the fence.	El esta arreglando la cerca.
The sky is blue and clear.	El cielo esta azul y despejado.
I am writing in my journal.	Estoy escribiendo en mi diario.
She is brushing her hair.	Ella se esta cepillando el cabello.
We are cleaning the house.	Estamos limpiando la casa.
He is playing the piano.	El esta tocando el piano.
The water is freezing.	El agua esta congelandose.
I am drinking juice.	Estoy bebiendo jugo.
She is studying mathematics.	Ella esta estudiando matematicas.
We are making dinner.	Estamos haciendo la cena.
He is learning to swim.	El esta aprendiendo a nadar.
The dog is barking loudly.	El perro esta ladrando fuerte.
I am reading the newspaper.	Estoy leyendo el periodico.
She is knitting a blanket.	Ella esta tejiendo una manta.
We are playing cards.	Estamos jugando a las cartas.
He is practicing basketball.	El esta practicando baloncesto.
The cat is purring softly.	El gato esta ronroneando suavemente.
I am fixing my laptop.	Estoy arreglando mi portatil.
She is cooking breakfast.	Ella esta cocinando el desayuno.
We are planning a party.	Estamos planeando una fiesta.
He is washing the car.	El esta lavando el coche.
The sky is dark and cloudy.	El cielo esta oscuro y nublado.
I am learning to skateboard.	Estoy aprendiendo a andar en monopatin.
She is writing a report.	Ella esta escribiendo un informe.
We are organizing a garage sale.	Estamos organizando una venta de garaje.
He is feeding the baby.	El esta alimentando al bebe.
The dog is chasing a ball.	El perro esta persiguiendo una pelota.
I am cleaning the bathroom.	Estoy limpiando el bano.
She is making a salad.	Ella esta haciendo una ensalada.
We are decorating for a party.	Estamos decorando para una fiesta.
He is playing video games.	El esta jugando videojuegos.
The water is calm.	El agua esta tranquila.
I am learning to sing.	Estoy aprendiendo a cantar.
She is baking muffins.	Ella esta horneando magdalenas.
We are painting the fence.	Estamos pintando la cerca.
He is cleaning the aquarium.	El esta limpiando el acuario.
The cat is watching birds.	El gato esta observando a los pajaros.
I am drinking milk.	Estoy bebiendo leche.
She is fixing her bike.	Ella esta arreglando su bicicleta.
We are going to the park.	Vamos al parque.
He is practicing his speech.	El esta practicando su discurso.
The sun is shining warmly.	El sol esta brillando calidamente.
I am writing a poem.	Estoy escribiendo un poema.
She is organizing the pantry.	Ella esta organizando la despensa.
We are cleaning the windows.	Estamos limpiando las ventanas.
He is washing his hands.	El esta lavandose las manos.
The water is refreshing.	El agua es refrescante.
I am learning to play chess.	Estoy aprendiendo a jugar ajedrez.
She is reading a novel.	Ella esta leyendo una novela.
We are planning a picnic.	Estamos planeando un picnic.
He is painting a landscape.	El esta pintando un paisaje.
The cat is napping in the sun.	El gato esta durmiendo al sol.
I am feeding the fish.	Estoy alimentando a los peces.
She is sewing a quilt.	Ella esta cosiendo una colcha.
We are having a barbecue.	Estamos haciendo una barbacoa.
He is cleaning the garage.	El esta limpiando el garaje.
The sky is clear tonight.	El cielo esta despejado esta noche.
I am learning to juggle.	Estoy aprendiendo a hacer malabares.
She is writing a script.	Ella esta escribiendo un guion.
We are visiting the park.	Estamos visitando el parque.
He is reading a manual.	El esta leyendo un manual.
The dog is licking its paws.	El perro esta lamiendose las patas.
I am folding the towels.	Estoy doblando las toallas.
She is cleaning the fridge.	Ella esta limpiando el refrigerador.
We are going to the beach.	Vamos a la playa.
He is learning to surf.	El esta aprendiendo a surfear.
The coffee is brewing.	El cafe esta colandose.
I am fixing the sink.	Estoy arreglando el fregadero.
She is knitting a hat.	Ella esta tejiendo un sombrero.
We are washing the dishes.	Estamos lavando los platos.
He is painting a portrait.	El esta pintando un retrato.
The cat is purring contentedly.	El gato esta ronroneando contento.
I am writing a letter.	Estoy escribiendo una carta.
She is making dinner.	Ella esta haciendo la cena.
We are organizing the office.	Estamos organizando la oficina.
He is reading a novel.	El esta leyendo una novela.
The sun is setting beautifully.	El sol se esta poniendo hermosamente.
I am learning to crochet.	Estoy aprendiendo a hacer ganchillo.
She is brushing her dog.	Ella esta cepillando a su perro.
We are playing a game.	Estamos jugando un juego.
He is practicing yoga.	El esta practicando yoga.
The water is cold and clear.	El agua esta fria y clara.
I am folding the sheets.	Estoy doblando las sabanas.
She is studying for finals.	Ella esta estudiando para los finales.
We are decorating the room.	Estamos decorando la habitacion.
He is washing his bike.	El esta lavando su bicicleta.
The cat is chasing a toy.	El gato esta persiguiendo un juguete.
I am writing a story.	Estoy escribiendo una historia.
She is organizing the shelves.	Ella esta organizando los estantes.
We are planning a road trip.	Estamos planeando un viaje por carretera.
He is practicing his lines.	El esta practicando sus lineas.
The dog is playing fetch.	El perro esta jugando a buscar.
I am cleaning the stove.	Estoy limpiando la estufa.
She is writing a review.	Ella esta escribiendo una resena.
We are going to the gym.	Vamos al gimnasio.
He is painting a mural.	El esta pintando un mural.
The sky is full of stars tonight.	El cielo esta lleno de estrellas esta noche.
I am learning to bake.	Estoy aprendiendo a hornear.
She is brushing her teeth.	Ella se esta cepillando los dientes.
We are having a meeting.	Estamos teniendo una reunion.
He is reading a science book.	El esta leyendo un libro de ciencia.
The water is crystal clear.	El agua esta cristalina.
I am feeding my cat.	Estoy alimentando a mi gato.
She is knitting a pair of socks.	Ella esta tejiendo un par de calcetines.
We are making a cake.	Estamos haciendo un pastel.
He is cleaning the windows.	El esta limpiando las ventanas.
The cat is napping on the couch.	El gato esta durmiendo en el sofa.
I am learning to play guitar.	Estoy aprendiendo a tocar la guitarra.
She is writing in her journal.	Ella esta escribiendo en su diario.
We are planning a surprise party.	Estamos planeando una fiesta sorpresa.
He is washing his clothes.	El esta lavando su ropa.
The dog is barking at the mailman.	El perro esta ladrando al cartero.
I am writing a recipe.	Estoy escribiendo una receta.
She is organizing her desk.	Ella esta organizando su escritorio.
We are cleaning the basement.	Estamos limpiando el sotano.
